2026-05-11 04:29:57 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:29:59 | ERROR    | health_monitor | Process DOWN: institutional (institutional_layer.py)
2026-05-11 04:30:00 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:30:04 | ERROR    | health_monitor | CPU critical: 100.0%
2026-05-11 04:30:04 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'institutional']
2026-05-11 04:31:05 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:31:05 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:31:05 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:31:07 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'ai_layer']
2026-05-11 04:32:07 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:32:07 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:32:07 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:32:07 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:32:09 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:33:09 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:33:09 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:33:09 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:33:09 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:33:10 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:34:10 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:34:10 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:34:10 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:34:10 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

