2026-05-11 04:29:58 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 04:31:03 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 04:35:42 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 04:39:20 | WARNING  | resource_monitor | RAM WARNING: 80.6%
2026-05-11 04:44:00 | WARNING  | resource_monitor | CPU WARNING: 88.0%
2026-05-11 04:57:59 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 05:06:17 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 06:07:24 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 06:32:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 06:47:53 | WARNING  | resource_monitor | CPU WARNING: 82.2%
2026-05-11 07:08:05 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 07:32:57 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 08:13:52 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 08:38:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 09:24:19 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 09:39:51 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 09:44:31 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 09:55:24 | WARNING  | resource_monitor | CPU WARNING: 94.9%
2026-05-11 10:30:06 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 10:45:38 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 10:50:18 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 11:35:53 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 11:51:25 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 11:56:05 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 12:41:40 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 13:17:24 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 13:41:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 13:47:48 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 14:08:00 | WARNING  | resource_monitor | CPU WARNING: 93.0%
2026-05-11 14:17:51 | WARNING  | resource_monitor | CPU WARNING: 83.0%
2026-05-11 14:38:02 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 14:53:34 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 15:12:13 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 15:13:47 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 15:25:11 | WARNING  | resource_monitor | CPU WARNING: 92.0%
2026-05-11 15:43:49 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 15:45:23 | WARNING  | resource_monitor | CPU WARNING: 85.9%
2026-05-11 15:59:22 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 16:04:02 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 16:19:34 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 17:05:08 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 17:09:48 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 17:25:21 | WARNING  | resource_monitor | CPU WARNING: 91.1%
2026-05-11 18:10:24 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 18:14:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 18:15:04 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-11 18:15:35 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-11 18:16:07 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 18:16:38 | WARNING  | resource_monitor | CPU WARNING: 87.0%
2026-05-11 18:17:40 | WARNING  | resource_monitor | CPU WARNING: 80.0%
2026-05-11 18:20:47 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 18:36:20 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 19:25:00 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-11 19:26:03 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 19:26:34 | WARNING  | resource_monitor | CPU WARNING: 87.9%
2026-05-11 19:28:07 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 19:28:38 | WARNING  | resource_monitor | CPU WARNING: 89.1%
2026-05-11 19:31:45 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:07:29 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:17:20 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:33:55 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:34:26 | WARNING  | resource_monitor | CPU WARNING: 82.8%
2026-05-11 20:34:57 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:35:28 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 20:37:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 21:13:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 21:23:07 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 21:38:39 | WARNING  | resource_monitor | CPU WARNING: 90.8%
2026-05-11 21:40:13 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 21:43:20 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 22:37:10 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 22:38:12 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 22:39:15 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 22:59:26 | WARNING  | resource_monitor | CPU WARNING: 86.1%
2026-05-11 23:09:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:19:38 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:29:29 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:31:02 | WARNING  | resource_monitor | CPU WARNING: 90.0%
2026-05-11 23:31:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:32:04 | WARNING  | resource_monitor | CPU WARNING: 80.0%
2026-05-11 23:32:35 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:39:50 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-11 23:49:41 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 00:00:03 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 00:26:59 | WARNING  | resource_monitor | CPU WARNING: 91.0%
2026-05-12 00:27:30 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 01:23:25 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 01:26:01 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 01:46:13 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 02:16:15 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 02:17:48 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 02:18:19 | WARNING  | resource_monitor | CPU WARNING: 93.0%
2026-05-12 02:18:50 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-12 02:19:22 | WARNING  | resource_monitor | CPU WARNING: 92.0%
2026-05-12 02:36:27 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 03:14:15 | ERROR    | resource_monitor | CPU CRITICAL: 95.0%
2026-05-12 03:15:17 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 03:16:51 | WARNING  | resource_monitor | CPU WARNING: 86.1%
2026-05-12 03:52:34 | WARNING  | resource_monitor | CPU WARNING: 80.8%
2026-05-12 04:11:12 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 04:12:15 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 04:12:46 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 04:42:48 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 04:54:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 05:00:00 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 05:23:20 | WARNING  | resource_monitor | CPU WARNING: 92.9%
2026-05-12 06:07:51 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 06:12:00 | WARNING  | resource_monitor | CPU WARNING: 82.0%
2026-05-12 09:56:41 | WARNING  | resource_monitor | CPU WARNING: 84.2%
2026-05-12 10:45:20 | ERROR    | resource_monitor | CPU CRITICAL: 95.0%
2026-05-12 11:13:49 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 02:00:07 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 02:00:39 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:01:10 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:01:41 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:02:12 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:12:55 | WARNING  | resource_monitor | CPU WARNING: 94.9%
2026-05-13 09:13:26 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
